ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAIizQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.ChipPerformence	chipperformence	1591024169011	 	3.3.1
USER	Update	310	START	1591024172085	1591024172085
USER	Delete	733	START	1591024172086	1591024172086
USER	Create	104	START	1591024172086	1591024172086
USER	Show	522	START	1591024172086	1591024172086
USER	Update	311	START	1591024172086	1591024172086
USER	Delete	734	START	1591024172087	1591024172087
USER	Show	521	START	1591024172085	1591024172085
USER	Create	105	START	1591024172087	1591024172087
USER	Update	312	START	1591024172088	1591024172088
USER	Show	523	START	1591024172088	1591024172088
USER	Delete	735	START	1591024172088	1591024172088
USER	Create	106	START	1591024172088	1591024172088
USER	Update	313	START	1591024172088	1591024172088
USER	Show	524	START	1591024172088	1591024172088
USER	Delete	736	START	1591024172089	1591024172089
USER	Update	314	START	1591024172089	1591024172089
